0,HowSTAT! ODI Cricket - John Lever - Performance Analysis by Year,1976,                              1                               
1,HowSTAT! ODI Cricket - John Lever - Performance Analysis by Year,1977,                              27*                               
2,HowSTAT! ODI Cricket - John Lever - Performance Analysis by Year,1978,                              5*                               
3,HowSTAT! ODI Cricket - John Lever - Performance Analysis by Year,1979,                              1                               
4,HowSTAT! ODI Cricket - John Lever - Performance Analysis by Year,1980,                              11                               
5,HowSTAT! ODI Cricket - John Lever - Performance Analysis by Year,1981,                              0                               
6,HowSTAT! ODI Cricket - John Lever - Performance Analysis by Year,1982,                              2*                               
7,HowSTAT! ODI Cricket - Peter Lever - Performance Analysis by Year,1971,                              4*                               
8,HowSTAT! ODI Cricket - Peter Lever - Performance Analysis by Year,1973,                              0                               
9,HowSTAT! ODI Cricket - Peter Lever - Performance Analysis by Year,1974,                              8*                               
10,HowSTAT! ODI Cricket - Peter Lever - Performance Analysis by Year,1975,                              5                               
11,HowSTAT! ODI Cricket - Chris Lewis - Performance Analysis by Year,1990,                              7                               
12,HowSTAT! ODI Cricket - Chris Lewis - Performance Analysis by Year,1991,                              0                               
13,HowSTAT! ODI Cricket - Chris Lewis - Performance Analysis by Year,1992,                              33                               
14,HowSTAT! ODI Cricket - Chris Lewis - Performance Analysis by Year,1993,                              25                               
15,HowSTAT! ODI Cricket - Chris Lewis - Performance Analysis by Year,1994,                              19                               
16,HowSTAT! ODI Cricket - Chris Lewis - Performance Analysis by Year,1996,                              29*                               
17,HowSTAT! ODI Cricket - Chris Lewis - Performance Analysis by Year,1998,                              16                               
18,HowSTAT! ODI Cricket - Dennis Lillee - Performance Analysis by Year,1972,                              13                               
19,HowSTAT! ODI Cricket - Dennis Lillee - Performance Analysis by Year,1975,                              16*                               
20,HowSTAT! ODI Cricket - Dennis Lillee - Performance Analysis by Year,1979,                              19                               
21,HowSTAT! ODI Cricket - Dennis Lillee - Performance Analysis by Year,1980,                              21                               
22,HowSTAT! ODI Cricket - Dennis Lillee - Performance Analysis by Year,1981,                              42*                               
23,HowSTAT! ODI Cricket - Dennis Lillee - Performance Analysis by Year,1982,                              11                               
24,HowSTAT! ODI Cricket - Dennis Lillee - Performance Analysis by Year,1983,                              5                               
25,HowSTAT! ODI Cricket - Dulip Liyanage - Performance Analysis by Year,1992,                              0                               
26,HowSTAT! ODI Cricket - Dulip Liyanage - Performance Analysis by Year,1993,                              16                               
27,HowSTAT! ODI Cricket - Dulip Liyanage - Performance Analysis by Year,1997,                              43                               
28,HowSTAT! ODI Cricket - Dulip Liyanage - Performance Analysis by Year,2001,                              2                               
29,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1973,                              31                               
30,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1975,                              102                               
31,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1976,                              79                               
32,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1977,                              45*                               
33,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1979,                              73*                               
34,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1980,                              34*                               
35,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1981,                              80*                               
36,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1982,                              63*                               
37,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1983,                              41                               
38,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1984,                              65                               
39,HowSTAT! ODI Cricket - Clive Lloyd - Performance Analysis by Year,1985,                              89*                               
40,HowSTAT! ODI Cricket - David Lloyd - Performance Analysis by Year,1973,                              8                               
41,HowSTAT! ODI Cricket - David Lloyd - Performance Analysis by Year,1974,                              116*                               
42,HowSTAT! ODI Cricket - David Lloyd - Performance Analysis by Year,1975,                              49                               
43,HowSTAT! ODI Cricket - David Lloyd - Performance Analysis by Year,1978,                              34                               
44,HowSTAT! ODI Cricket - David Lloyd - Performance Analysis by Year,1980,                              1                               
45,HowSTAT! ODI Cricket - Timothy Lloyd - Performance Analysis by Year,1984,                              49                               
46,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1981,                              0                               
47,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1982,                              0                               
48,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1983,                              6*                               
49,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1984,                              88                               
50,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1985,                              78*                               
51,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1986,                              58*                               
52,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1987,                              65*                               
53,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1988,                              109*                               
54,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1989,                              59*                               
55,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1990,                              18                               
56,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1991,                              82                               
57,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1992,                              61                               
58,HowSTAT! ODI Cricket - Gus Logie - Performance Analysis by Year,1993,                              41*                               
59,HowSTAT! ODI Cricket - Brian Luckhurst - Performance Analysis by Year,1975,                              14                               
