0, Asghar Afghan,"2,078",
1, Dawlat Ahmadzai,–,
2, Hamid Hassan,92,
3, Hasti Gul,23,
4, Karim Sadiq,475,
5, Khaleqdaad Noori,40,
6, Mohammad Nabi,"2,592",
7, Nawroz Mangal,"1,139",
8, Noor Ali Zadran,"1,153",
9, Raees Ahmadzai,39,
10, Samiullah Shenwari,96,
11, Ahmed Shah,2,
12, Mirwais Ashraf,52*,
13, Mohammad Shahzad,131*,
14, Shapoor Zadran,17,
15, Shafiqullah,56,
16, Aftab Alam,16*,
17, Shabir Noori,94,
18, Javed Ahmadi,81,
19, Noor-ul-Haq,12,
20, Abdullah Mazari,3,
21, Izatullah Dawlatzai,6*,
22, Dawlat Zadran,47*,
23, Gulbadin Naib,82*,
24, Amir Hamza,7,
25, Zakiullah Zaki,3*,
26, Najibullah Zadran,104*,
27, Mohibullah Oryakhel,–,
28, Rahmat Shah,114,
29, Hashmatullah Shahidi,97*,
30, Usman Ghani,118,
31, Sharafuddin Ashraf,21,
32, Nasir Jamal,53,
33, Afsar Zazai,60,
34, Fareed Ahmad,1*,
35, Rashid Khan,60*,
36, Yamin Ahmadzai,3*,
37, Rokhan Barakzai,–,
38, Naveen-ul-Haq,0*,
39, Ihsanullah,57*,
40, Karim Janat,9,
41, Najeeb Tarakai,5,
42, Mujeeb Ur Rahman,15,
43, Hazratullah Zazai,67,
44, Ikram Ali Khil,5*,
45, Sayed Shirzad,–,
46, Zahir Khan,–,
47,Syed Abid Ali,93,
48,Bishan Singh Bedi,31,
49,Farokh Engineer,114,
50,Sunil Gavaskar,3092,
51,Madan Lal,401,
52,Sudhir Naik,38,
53,Brijesh Patel,243,
54,Eknath Solkar,27,
55,Srinivas Venkataraghavan,54,
56,Gundappa Viswanath,439,
57,Ajit Wadekar,73,
58,Gopal Bose,13,
59,Ashok Mankad,44,
60,Mohinder Amarnath,1924,
61,Anshuman Gaekwad,269,
62,Karsan Ghavri,114,
63,Syed Kirmani,373,
64,Parthasarathy Sharma,20,
65,Dilip Vengsarkar,3508,
66,B. S. Chandrasekhar,11,
67,Pochiah Krishnamurthy,6,
68,Sudhakar Rao,4,
69,Surinder Amarnath,100,
70,Chetan Chauhan,153,
71,Kapil Dev,3783,
72,Yashpal Sharma,883,
73,Bharath Reddy,11,
74,Surinder Khanna,176,
75,Kirti Azad,269,
76,Roger Binny,629,
77,Dilip Doshi,9,
78,Sandeep Patil,1005,
79,T. E. Srinivasan,10,
80,Yograj Singh,1,
81,Randhir Singh,"<span data-sort-value=""&amp;"">—</span>",
82,Ravi Shastri,3108,
83,Krishnamachari Srikkanth,4091,
84,Suru Nayak,3,
85,Arun Lal,122,
86,Ashok Malhotra,457,
87,Ghulam Parkar,165,
88,Balwinder Sandhu,51,
89,Maninder Singh,49,
90,T. A. Sekhar,"<span data-sort-value=""&amp;"">—</span>",
91,Chetan Sharma,456,
92,Raju Kulkarni,33,
93,Manoj Prabhakar,1858,
94,Ashok Patel,6,
95,Rajinder Ghai,1,
96,Kiran More,563,
97,Mohammad Azharuddin,9378,
98,Sadanand Viswanath,72,
99,Lalchand Rajput,9,
100,Laxman Sivaramakrishnan,5,
101,Gopal Sharma,11,
102,Shivlal Yadav,1,
103,Chandrakant Pandit,290,
104,Raman Lamba,783,
105,R. P. Singh,"<span data-sort-value=""&amp;"">—</span>",
106,Bharat Arun,21,
107,Navjot Singh Sidhu,4413,
108,Arshad Ayub,116,
109,Woorkeri Raman,617,
110,Ajay Sharma,424,
111,Sanjeev Sharma,80,
112,Sanjay Manjrekar,1994,
113,Narendra Hirwani,8,
114,V. B. Chandrasekhar,88,
115,Rashid Patel,"<span data-sort-value=""&amp;"">—</span>",
116,M. Venkataramana,"<span data-sort-value=""00000 !"">0</span>",
117,Robin Singh,2336,
118,Salil Ankola,34,
119,Vivek Razdan,23,
120,Sachin Tendulkar,18426,
121,Venkatapathy Raju,32,
122,Atul Wassan,33,
123,Gursharan Singh,4,
124,Anil Kumble,903,
125,Saradindu Mukherjee,2,
126,Vinod Kambli,2477,
127,Javagal Srinath,883,
128,Pravin Amre,513,
129,Subroto Banerjee,49,
130,Sourav Ganguly,11221,
131,Ajay Jadeja,5359,
132,Vijay Yadav,118,
133,Rajesh Chauhan,132,
134,Nayan Mongia,1272,
135,Venkatesh Prasad,221,
136,Atul Bedade,158,
137,"Bhupinder Singh, Sr.",6,
138,Aashish Kapoor,43,
139,Prashant Vaidya,15,
140,Utpal Chatterjee,6,
141,Rahul Dravid,10768,
142,Vikram Rathour,193,
143,Paras Mhambrey,7,
144,Sunil Joshi,584,
145,Sujith Somasunder,16,
146,Pankaj Dharmani,8,
147,Saba Karim,362,
148,Dodda Ganesh,4,
149,Abey Kuruvilla,26,
150,Noel David,9,
151,Nilesh Kulkarni,11,
152,Harvinder Singh,6,
153,Debashish Mohanty,28,
154,Sairaj Bahutule,23,
155,Hrishikesh Kanitkar,339,
156,Rahul Sanghvi,8,
157,Ajit Agarkar,"<span data-sort-value=""01269 !"">1269</span>",
158,V. V. S. Laxman,2338,
159,Harbhajan Singh,1213,
160,Gagan Khoda,115,
161,M. S. K. Prasad,131,
162,Nikhil Chopra,310,
163,Jatin Paranjpe,54,
164,Sanjay Raul,8,
165,Laxmi Ratan Shukla,18,
166,Gyanendra Pandey,4,
167,Amay Khurasiya,149,
168,Sadagoppan Ramesh,646,
169,Virender Sehwag,7995,
170,Jacob Martin,158,
171,Vijay Bharadwaj,136,
172,Thirunavukkarasu Kumaran,19,
173,Devang Gandhi,49,
174,Sameer Dighe,256,
175,Sridharan Sriram,81,
176,Hemang Badani,867,
177,Amit Bhandari,"<span data-sort-value=""&amp;"">—</span>",
178,Vijay Dahiya,216,
179,Zaheer Khan,753,
180,Yuvraj Singh,8609,
181,Reetinder Singh Sodhi,280,
182,Dinesh Mongia,1230,
183,Ashish Nehra,140,
184,Shiv Sunder Das,39,
185,Deep Dasgupta,51,
186,Ajay Ratra,90,
187,Sanjay Bangar,180,
188,Mohammad Kaif,2753,
189,Sarandeep Singh,47,
190,Murali Kartik,126,
191,Tinu Yohannan,7,
192,Jai Yadav,81,
193,Lakshmipathy Balaji,120,
194,Parthiv Patel,736,
195,Gautam Gambhir,5238,
